smiles,toxic,non_toxic_strict,n_labeled_endpoints,scaffold
OCCSSCCO,0,1,11,
ClCCCCCCCl,0,1,12,
[Ba+2],1,0,12,
C=CCCC,0,1,12,
CCOC(=O)CP(=O)(OCC)OCC,0,1,11,
O=C(O)COCC(=O)O,0,1,12,
CCCCC,0,0,9,
N#CC(C#N)=C(C#N)C#N,1,0,11,
C[N+](C)(C)CC(=O)[O-],0,1,12,
CN(CCO)CCO,0,1,11,
C=CC(=O)NCNC(=O)C=C,1,0,9,
N#CSCSC#N,1,0,7,
CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,1,0,2,
CCCCS,0,1,11,
C[S+](C)CCC(N)C(=O)O,0,1,10,
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OCC(O)CO,0,1,11,
CCCCCCCC(=O)OCC(O)CO,0,1,12,
CCCCCCCCCCCCCC(=O)OCC(O)CO,0,1,10,
C=CCN(CC=C)C(=O)C(Cl)Cl,0,1,12,
CCCCCCCCCCCCCCCCO,1,0,12,
C=CC(=O)OC,0,1,11,
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OC,0,1,11,
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0,1,11,
C[CH2][Sn]([Br])([CH2]C)[CH2]C,1,0,9,
CCC(CO)(CO)COCC(CC)(CO)CO,0,1,12,
C=C(C)C(=O)OCCCCOC(=O)C(=C)C,0,1,11,
CCCCCCCCCCCC(=O)N(CC)CC,0,1,12,
N#CCCOCCOCCC#N,0,1,11,
C=CC(=O)OCCCCCCCCCC,0,1,12,
CN(C)CCN(C)CCO,0,1,12,
CCOP(=O)(OCC)OCC,1,0,12,
CC(=O)OCCOCCOCCOC(C)=O,0,1,12,
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,1,12,
NNCCO,0,1,11,
CCOP(=S)(OCC)SCSCC,1,0,11,
C=CC(=O)OCCN(C)C,0,1,11,
CCOCC(C)O,0,1,11,
CN(C)CCCN,0,1,12,
COC(C)OC,0,1,11,
C=CC(=O)OCC,0,1,12,
CC(C)N(CCO)C(C)C,0,1,11,
CCC(C)=NO,0,1,12,
CCC(=O)CC,0,1,12,
CCCC(C)CC,0,1,12,
CCOP(=O)([O-])C(N)=O,0,1,10,
C=C(C)C(=O)OCCN(C)C,0,1,12,
CCCOCCO,0,1,12,
COC(=O)CCS,0,1,12,
N=C(N)NN.N=C(N)NN,0,1,11,
CCCCCCC#CC(=O)OC,0,1,11,
CCCCCC/C=C/C(=O)OC,0,1,12,
CCCCCCCC(=O)OCCCCCC,0,1,12,
CCCCCCCC/C=C\CCCCCCCC(=O)OCC,0,1,12,
C/C=C/C=C/CO,0,1,11,
O=C(O)CCCCCCC(=O)O,0,1,11,
CCCCCCCCCCCCCBr,0,1,11,
CCCCOC(O)CC,0,1,12,
CCCCCCCCCCCCOS(=O)(=O)[O-],0,1,12,
CCCCC(CC)COS(=O)(=O)[O-],0,1,12,
CC(C)(CO)[C@@H](O)C(=O)NCCCO,0,1,12,
C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,0,1,12,
CCCCCOC(=O)CCCC,0,1,11,
CC(C)=CC(=O)O,1,0,12,
CCCCCCCCC(=O)Cl,0,1,11,
CCCCCC(C)N.CCCCCC(C)N,0,0,2,
CC=CC=CCOC(=O)C(C)C,1,0,9,
CC/C=C\CCOC(C)OCC,0,1,11,
COC(=O)C(Cl)C(=O)OC,1,0,12,
NCCC[C@H](N)C(=O)O,0,0,9,
CC(C)(C)N,0,1,12,
NCCOCCO,0,1,12,
C=CCCCCCCCCC=O,0,1,12,
NCCOS(=O)(=O)O,0,1,12,
[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O,1,0,12,
COP(=O)(OC)OC=C(Cl)Cl,1,0,12,
CC(Cl)CCl,0,1,12,
CC(C)N(C)C,0,1,11,
CN(C)CCCNCCCN,1,0,10,
[Cl][Pd][Cl],0,1,11,
ClC=CCl,0,1,12,
CCCCCCCC/C=C/CCCOC(C)=O,1,0,12,
O=S(=O)([O-])CCCS(=O)(=O)[O-],0,1,10,
[TlH2+],1,0,10,
C=C(C)C(=O)OCCCCCCCCCCCCCCCCCC,0,1,11,
CC(C)OP(C)(=O)OC(C)C,0,1,12,
COS(=O)(=O)OC,0,1,12,
CNC,0,1,12,
CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,0,1,12,
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C,1,0,12,
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-],0,1,12,
CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(=O)O,0,0,2,
CC(=O)NC(CCC(N)=O)C(=O)O,0,1,12,
CCC(CN)CC(C)CCNCC(O)CNCC(C)CC(CC)CN,0,1,10,
O=P([O-])([O-])OC(CO)CO,0,1,10,
CCCCCCCCP(=O)(O)O,0,1,11,
COCCOCC(OC)OC,0,0,2,
C=C(Cl)CCl,0,1,12,
OC(CCl)CCl,0,1,12,
[Cl][Ba][Cl],1,0,12,
O=C(O)CP(=O)(O)O,0,1,12,
O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],0,1,12,
NCCCCCC(=O)O,0,0,2,
CCNP(=S)(OC)O/C(C)=C/C(=O)OC(C)C,1,0,11,
CC(C)=CCCC(C)=CC=O,0,1,12,
ClC(Cl)Cl,0,1,11,
COC(=O)CCSCCC(=O)OC,1,0,12,
CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,1,0,11,
ClC(Br)Br,0,1,12,
CC(C)(CCl)C(=O)Cl,0,0,7,
NC(=O)NC(N)=O,0,1,12,
CC(C)CC(C)O,0,1,12,
C=COCCCCO,0,1,12,
NCC(=O)O,0,0,2,
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,0,1,12,
CC(C)COP(=O)(OCC(C)C)OCC(C)C,0,1,10,
C=CCCCCCCCCCCCC,0,1,12,
NC(=O)[O-],0,1,12,
CC(C)(CO)COC(=O)C(C)(C)CO,0,1,12,
NC(=O)N=NC(N)=O,0,1,11,
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0,1,12,
CCOC(=O)CC(C)=O,0,1,12,
CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC,1,0,12,
CC(C)(O)C#CC(C)(C)O,0,1,12,
CC(=O)[O-].CC(=O)[O-].[Mg+2],1,0,11,
O=C(O)CNCC(=O)O,0,1,12,
CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,0,1,10,
ClC(Cl)(Cl)C(Cl)(Cl)Cl,0,0,9,
C=CCCC(=O)O,0,1,11,
CN=C=O,0,1,11,
[Na][I],0,1,12,
C[N+](C)(C)CC(=O)O,0,1,12,
CCCC[N+](C)(CCCC)CCCC,0,1,12,
BrCCCCCBr,0,1,12,
O=CNNC=O,0,1,12,
CCNC(=S)NCC,1,0,12,
CCOC(=O)/C=C\C(=O)OCC,1,0,12,
CCN(C=O)CC,0,1,12,
OCCOCCO,0,1,12,
CC(C)(C)S,0,1,12,
CCCCCCCC/C=C\CCCCCCCC(=O)O,0,1,12,
C=CCCCCCC,0,1,11,
CCOP(=O)(OCC)OP(=O)(OCC)OCC,0,1,10,
O=C([O-])CF,0,1,12,
CCCCOCC(C)OCC(C)O,0,1,12,
C=CC(=O)OCCOCC(CC)(COCCOC(=O)C=C)COCCOC(=O)C=C,1,0,8,
C=CC(=O)OCCCCCC(C)C,1,0,12,
Cl/C=C/Cl,0,1,12,
Cl/C=C\Cl,0,0,9,
OCC(Cl)CCl,0,1,12,
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,0,1,12,
COC(OC)OC,0,1,12,
CCCC(=O)OCCC(C)CCC=C(C)C,0,1,11,
N[C@@H](CCC(=O)O)C(=O)O,0,1,12,
CCCC(=O)OC/C=C(\C)CCC=C(C)C,0,1,12,
CP(=O)([O-])OCCC[Si](O)(O)O,0,1,11,
CCCCOC(=O)C(C)OC(=O)CCC,0,1,12,
COC(C=C(C)CCC=C(C)C)OC,0,1,12,
C=C[Si](OC(=C)C)(OC(=C)C)OC(=C)C,0,1,10,
CCOC(=O)C(=O)CCCCCCl,0,0,2,
CC(C)CCON=O,0,1,12,
CC(=O)C(C)C,0,1,11,
CNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NC)CC(=O)[O-])CC(=O)[O-].[Gd+3],0,0,2,
CCCCCCCCCCCCCCBr,0,1,11,
[O]=[Mo](=[O])=[O],0,1,12,
CCOP(=S)(S)OCC,0,1,12,
CCCCCCCC/C=C\CCCCCCCC(N)=O,1,0,12,
CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,1,0,7,
CCCCOC(=O)CCCCC(=O)OCCCC,0,1,12,
C[N+](C)(C)CCO,0,1,12,
[O]=[Cr][O][Cr]=[O],0,1,12,
[Cr+3],0,1,11,
CC=CC(=O)O,0,1,12,
OCCCCCO,1,0,12,
CCCCCCCCCCCC(=O)OCC(C)OC(=O)CCCCC(=O)O,0,0,8,
COCCOCCOCCOC,0,1,12,
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0,1,12,
N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,0,0,1,
CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC,0,0,9,
C[C@@H](O)[C@H](N)C(=O)O,0,0,2,
CCCCCCCCCCCCCCCC(=O)NCCO,0,1,12,
CCCCCC#CC(=O)OC,0,1,12,
C/C=C/C=C/C(=O)O,1,0,12,
CCN(CC)C(=S)[S-],1,0,11,
CCC(OCCCOC)OC(C)=O,0,1,12,
[CH3][Sn]([CH3])([Cl])[Cl],1,0,11,
CCCCC(CC)C(=O)Cl,0,1,12,
CCOCCC(=O)OCC,0,1,12,
COC(=O)CC(C)CCC=C(C)C,0,1,10,
OCC(O)CCl,0,1,12,
COC(C)(C)CCO,0,1,12,
OCC(O)CO,0,1,12,
O=S(=O)(O)O,0,1,10,
[Fe+2],0,1,11,
CC(C)(C)C(=O)O,0,1,11,
CC(C)(CO)[N+](=O)[O-],1,0,12,
CCCCCCCCCCCCS,0,1,12,
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,0,1,12,
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,0,0,4,
CC(=O)OCCOC(C)=O,0,1,12,
CCCCCCCCCCCCCCCCCC(=O)OCCO,1,0,10,
CCCCCCCC,0,0,9,
CCCCCCCCCCCC(=O)OC,0,1,12,
N#C[S-],0,1,12,
CC(N)=S,0,1,11,
CCCCCCCCCCCCCCCCI,0,1,12,
CCC(C)(C)CC,0,1,11,
C=CCCC=C,0,1,11,
CC(C)CC(C)(C)C,0,1,12,
CCCSC(=O)N(CCC)CCC,0,1,12,
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,1,0,8,
ClC(Cl)(Br)Br,0,1,12,
CCC(C)COC(=O)CC(C)C,0,1,12,
CC=CC(=O)CCCC,0,1,12,
CSCCCN=C=S,1,0,8,
CC(C)(O)C#N,0,1,12,
NO,0,1,11,
[NH3+]O.[NH3+]O,0,1,11,
NCCNCCO,0,1,12,
CCCC(CCC)C(N)=O,0,1,10,
CCCCCCCCC/C=C\C=C/C=C\C=C/C=C\C(=O)OCC,0,0,1,
CCOC(N)=O,0,1,12,
NC(N)=O,0,1,12,
CCC[CH2][Sn]([Cl])([Cl])[Cl],1,0,11,
CCCOCC(C)O,1,0,12,
CCCCCCC(CO)CCCC,0,1,12,
COC(C)CCO,0,1,11,
CC(C)(S)C(=O)N[C@@H](CS)C(=O)O,0,1,10,
CCCCOC(=O)CCCCCCCC(=O)OCCCC,0,1,12,
C=CCBr,0,1,11,
C=CCOC(=O)CCCCCCCC,0,1,12,
C=CCSSCCC,0,1,11,
C=CCNC(N)=S,0,1,12,
CC(C)C(O)C(C)(C)CO,0,1,12,
[Cl][Nd]([Cl])[Cl],0,1,10,
CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C,0,1,11,
CC(=O)OCCC(C)CC(C)(C)C,0,1,12,
[Co+2],1,0,12,
CCCCCCCCCCCC(=O)OCC(O)CO,0,1,12,
CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2],1,0,5,
CCCCC=O,0,1,12,
O=C(O)CCCC(=O)O,0,1,12,
C=C(C#N)C(=O)OCC,1,0,11,
CC(C)C(Br)C(=O)NC(N)=O,1,0,12,
OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,0,1,12,
CC(C)CCCC(C)NCCC(C)C,0,0,2,
O=S(=O)([O-])CO,0,1,12,
C=CCCCCCCCC,0,1,11,
CC(=O)C(Cl)C(=O)N(C)C,0,1,11,
COC(=O)CC#N,0,1,12,
CC(C)CCCCCCN,0,1,12,
CC(C)NC(=O)NC(C)C,0,1,12,
CCCCCCCCCCCCCCC(Br)C(=O)O,1,0,8,
C=CCOCC(O)CO,0,1,12,
C=CC(=O)OCCCCCCCC(C)C,0,1,12,
CCCCC(CC)COC(=O)CC#N,0,1,12,
CCCCN(CCCC)CCCC,0,1,12,
O=NN(CCCl)C(=O)NCCCl,1,0,11,
CCO[Si](OCC)(OCC)OCC,0,1,11,
CC(C)CC(C)N,0,1,12,
CCCCCCCCSCCO,0,1,11,
O=C/C(Cl)=C(/Cl)C(=O)O,1,0,8,
O=C(O)C(Cl)Cl,0,1,12,
CCCCCC(=O)OCC,0,1,12,
CCCCOC(C)=O,0,1,12,
CCCCCCCCCCCCN,0,1,10,
CCCCOP(=O)(OCCCC)OCCCC,1,0,12,
CCC(C)(CCC(C)C)C(=O)O,0,1,12,
C=CCSSCC=C,1,0,11,
C=C(C)C(=O)[O][Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC,1,0,5,
CC(C)CCCC(C)(C)O,0,1,12,
CCC/C=C/C=O,0,1,12,
CCCOC(C)=O,0,1,12,
[Cl][Yb]([Cl])[Cl],0,1,12,
C=CC(=O)OCCCCCCOC(=O)C=C,1,0,10,
C=CC(C)(C)CC(=O)OC,0,1,12,
C=CCCCC,0,0,8,
C=C(C)C(=O)OCCCCCC,0,1,12,
N=C(N)N.N=C(N)N.O=C(O)O,0,1,12,
CC(C)CC(=O)O,0,1,11,
CCCCCCCCCCCCCCCCC(=O)O,0,1,12,
NS(=O)(=O)O,0,1,12,
[PbH2+2],1,0,12,
CC(C)(C)N(CCO)CCO,0,1,11,
CC(CO)CO,0,1,12,
C=C(C)C(=O)OCCCCCCCCCCCCC,1,0,11,
C=C(C)C(=O)OCCC[Si](OC)(OC)OC,0,1,12,
C=CC(C)CCC=C(C)C,0,1,12,
C=CCCCCCCCCCCC,0,1,12,
OCC(S)CS,0,0,7,
C=CCOC(C)=O,0,1,11,
CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,0,1,12,
CCCOC(=O)CCCCC(=O)OCCC,0,1,12,
CCCCCCCCCCN,0,1,12,
CCCCNP(N)(N)=S,0,1,11,
CC(C)OC(=O)CCC(=O)OC(C)C,0,1,12,
OC[C@@H](O)[C@@H](O)CO,0,1,12,
N[C@@H](CS)C(=O)O,0,1,10,
CC(C)(O)C(Cl)(Cl)Cl,0,0,2,
CCC(C)CCCC(C)(C)O,1,0,11,
NC(CS)C(=O)O,0,0,2,
CC(C)(C)NC(N)=O,0,1,12,
CCCCCCCCCCCC[N+](C)(C)C,1,0,8,
CCCCCCCCCCCCCC[N+](C)(C)C,1,0,6,
CCO[Si](CCCNC(N)=O)(OCC)OCC,0,1,12,
CCCCCOC(=O)CCCCC,0,1,11,
CCCCCCOC(=O)CC,0,1,12,
CC/C=C\CCOC(=O)C(C)C,0,1,12,
CC/C=C\CCCCCO,0,1,11,
CC[N+](C)(CC)CC,0,1,11,
O=C(O)CF,0,1,11,
ClCCN(CCCl)CCCl,1,0,12,
CCCCCCCCCCCCCC/C(O)=N\C(CO)CCCCCCCCCCCCCC,0,1,12,
O=C(Cl)CCl,0,1,11,
CC(=O)NO,0,0,2,
[Fe+3],0,1,12,
CN(C)C(=S)[S-].CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Fe+3],1,0,4,
CS/C(C)=N/OC(=O)N(C)SN(C)C(=O)O/N=C(\C)SC,0,0,8,
CCBr,0,1,12,
ClC(Cl)Br,0,0,9,
OB(O)O,0,1,12,
O=C(O)[C@H](O)[C@@H](O)C(=O)O,0,1,12,
COCC(O)CO,0,1,11,
CC(C)OC(=O)CCCCC(=O)OC(C)C,0,0,8,
O=C(O)CC(O)C(=O)O,0,1,12,
C=C(C)C(=O)OCCC[Si](Cl)(Cl)Cl,0,1,11,
CCCCC(CC)(CO)CO,0,1,12,
CC(C)OCCO,0,1,12,
CN(C)CCCN(C)C,0,1,11,
CC(C)CCO,0,1,12,
C=C(C)C(=O)OCC(C)C,0,1,12,
C=C(C)C(=O)OCCCCCCCC(C)C,0,1,11,
CC(=O)CCl,0,1,12,
CCCCCCC(=O)OCC,0,1,10,
CCCC(=O)OCC,0,1,11,
CCOC(=O)CC,0,1,12,
C=CC(=O)NC(C)(C)C,0,1,12,
[Cu+2],1,0,8,
COC(=O)CCCCC(=O)OC,0,1,12,
ClCC(Cl)CCl,1,0,12,
OCCOCCOCCO,0,1,12,
OCCN(CCO)CCO,0,1,12,
N#CN,0,1,12,
C=CCCCCCCC=C,1,0,11,
CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC,1,0,8,
[Cl][In]([Cl])[Cl],1,0,12,
CCCCOC(=O)CO,0,1,12,
CCCC(=O)[O-],0,1,10,
CN(C)C(C)(C)CO,1,0,12,
[As]#[In],0,1,11,
COS(=O)(=O)[O-],0,1,12,
COCCOC(=O)CC#N,0,1,12,
COC(C)=O,0,1,12,
N#CCCN(CCO)CCO,0,1,11,
N#CCCCC(C#N)CCC#N,0,1,10,
CC(O)CC(C)O,0,1,12,
FCOC(C(F)(F)F)C(F)(F)F,0,1,10,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,1,10,
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,1,0,11,
CC(=O)OCC[N+](C)(C)C,0,0,2,
C=C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,1,0,11,
COCCOCCOC,0,1,12,
CCCCNC(=O)OCC#CI,1,0,9,
NC(=O)NNC(N)=O,0,1,10,
COC(=O)/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)\C=C/C(=O)O,1,0,10,
CC(=O)C(=O)[O-],0,1,12,
COCCCCCCCCOCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,1,0,7,
O=S(=O)([O-])[O-].[Li+].[Li+],0,1,12,
CCCCCBr,0,1,12,
CS(=O)(=O)Cl,0,1,12,
NC/C=C/C(=O)O,0,0,2,
COCCOC,0,1,12,
CCOCCOCC,0,1,12,
O=C(O)CCC(=O)C(=O)O,0,1,12,
S=C([S-])NCCNC(=S)[S-],1,0,11,
C[N+](=O)[O-],1,0,12,
C[N+]([O-])(CCCl)CCCl,0,0,2,
CCCCC(CC)CO,0,1,12,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,1,12,
